"abbr","title"
"npj Primary Care Respir Med","npj Primary Care Respiratory Medicine"
"npj Quantum Inf","npj Quantum Information"
"npj Quantum Mater","npj Quantum Materials"
"npj Regener Med","npj Regenerative Medicine"
"npj Schizophr","npj Schizophrenia"
"npj Sci Food","npj Science of Food"
"npj Sci Learn","npj Science of Learning"
"npj Syst Biol Appl","npj Systems Biology and Applications"
"npj Vaccines","npj Vaccines"
"NRIAG J Astron Geophys","NRIAG Journal of Astronomy and Geophysics"
"NTRITPP Spec Publ","NTRITPP Special Publication"
"Nucl Chem Waste Manage","Nuclear and Chemical Waste Management"
"Nucl Data Sect A","Nuclear Data Section A"
"Nucl Data Sect B","Nuclear Data Section B"
"Nucl Data Sheets","Nuclear Data Sheets"
"Nucl Energy Technol","Nuclear Energy and Technology"
"Nucl Eng Des","Nuclear Engineering and Design"
"Nucl Fusion","Nuclear Fusion"
"Nucl Geophys","Nuclear Geophysics"
"Nucl Instrum","Nuclear Instruments"
"Nucl Instrum Methods","Nuclear Instruments and Methods"
"Nucl Instrum Methods Phys Res","Nuclear Instruments and Methods in Physics Research"
"Nucl Instrum Methods Phys Res Sect A","Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment"
"Nucl Instrum Methods Phys Res Sect B","Nuclear Instruments and Methods in Physics Research Section B Beam Interactions with Materials and Atoms"
"Nucl Med Biol","Nuclear Medicine and Biology"
"Nucl Med Commun","Nuclear Medicine Communications"
"Nucl Phys A","Nuclear Physics A"
"Nucl Phys B","Nuclear Physics B"
"Nucl Phys B Proc Suppl","Nuclear Physics B Proceedings Supplements"
"Nucl Recept Signaling","Nuclear Receptor Signaling"
"Nucl Sci Eng","Nuclear Science and Engineering"
"Nucl Sci Tech","Nuclear Science and Techniques"
"Nucl Struct Eng","Nuclear Structural Engineering"
"Nucl Technol","Nuclear Technology"
"Nucl Track Detect","Nuclear Track Detection"
"Nucl Tracks","Nuclear Tracks"
"Nucl Tracks Radiat Meas","Nuclear Tracks and Radiation Measurement"
"Nucleic Acid Ther","Nucleic Acid Therapeutics"
"Nucleic Acids Res","Nucleic Acids Research"
"Nucleosides Nucleotides Nucleic Acids","Nucleosides Nucleotides and Nucleic Acids"
"Numer Anal Appl","Numerical Analysis and Applications"
"Numer Heat Transfer Part A","Numerical Heat Transfer Part A"
"Numer Heat Transfer Part B","Numerical Heat Transfer Part B"
"Numer Linear Algebra Appl","Numerical Linear Algebra with Applications"
"Numer Methods Partial Differ Equations","Numerical Methods for Partial Differential Equations"
"Nuovo Cimento Soc Ital Fis A","Nuovo Cimento della Societa Italiana di Fisica A"
"Nuovo Cimento Soc Ital Fis B","Nuovo Cimento della Societa Italiana di Fisica B"
"Nuovo Cimento Soc Ital Fis C","Nuovo Cimento della Societa Italiana di Fisica C"
"Nuovo Cimento Soc Ital Fis D","Nuovo Cimento della Societa Italiana di Fisica D"
"Nutr Aging","Nutrition and Aging"
"Nutr Bull","Nutrition Bulletin"
"Nutr Clin Pract","Nutrition in Clinical Practice"
"Nutr Cycling Agroecosyst","Nutrient Cycling in Agroecosystems"
"Nutr Diabetes","Nutrition and Diabetes"
"Nutr Diet","Nutrition and Dietetics"
"Nutr Health","Nutrition and Health"
"Nutr Healthy Aging","Nutrition and Healthy Aging"
"Nutr J","Nutrition Journal"
"Nutr Metab","Nutrition and Metabolism"
"Nutr Metab Insights","Nutrition and Metabolic Insights"
"Nutr Res","Nutrition Research"
"Nutr Res Rev","Nutrition Research Reviews"
"NY Times","New York Times"
"NZOI Coast Chart Ser","New Zealand Oceangraphic Institute Coastal Chart Series"
"NZOI Isl Chart Ser","New Zealand Oceangraphic Institute Island Chart Series"
"NZOI Lake Chart Ser","New Zealand Oceangraphic Institute Lake Chart Series"
"NZOI Mem","New Zealand Oceanographic Institute Memoir"
"NZOI Misc Chart Ser","New Zealand Oceangraphic Institute Miscellaneous Chart Series"
"NZOI Rec","New Zealand Oceanographic Institute Records"
"Obz Inf VNIEhRKh Akvakultura","Obzornaya informatsiya VNIEhRKh Seriya Akvakultura"
"Obz Inf VNIEhRKh Marikultura","Obzornaya informatsiya VNIEhRKh Seriya Marikultura"
"Obz Inf VNIEhRKh Rybokhoz Ispolz Resur Mirov Okeana","Obzornaya informatsiya VNIEhRKh Seriya Rybokhozyajstevennoe Ispolzovanie Resursov Mirovogo Okeana"
"Occas Pap Mollusks","Occasional Papers on Mollusks"
"Occas Pap Mus Zool Univ Mich","Occasional Papers of the Museums of Zoology University of Michigan"
"Occas Pap Aust Bur Agric Resour Econ","Occasional Paper Australian Bureau of Agricultural and Resource Economics"
"Occas Pap Calif Acad Sci","Occasional Papers of the California Academy of Sciences"
"Occas Pap Can Wildl Serv","Occasional Paper Canadian Wildlife Service"
"Occas Pap Fish Surv India","Occasional Papers of Fishery Survey of India"
"Occas Pap JLB Smith Inst Ichthyol","Occasional Papers JLB Smith Institute of Ichthyology"
"Occas Publ Freshw Biol Assoc Ambleside","Occasional Publication Freshwater Biological Association Ambleside"
"Occas Publ Mar Biol Assoc UK","Occasional Publication Marine Biolgoical Association of the United Kingdom"
"Occas Publ Univ Mar Biol Stn Millport","Occasional Publication University Marine Biological Station Millport"
"Occup Environ Med","Occupational and Environmental Medicine"
"Occup Ergon","Occupational Ergonomics"
"Ocean Coast Manage","Ocean and Coastal Management"
"Ocean Coastal Manage","Ocean and Coastal Management"
"Ocean Dev Int Law","Ocean Development and International Law"
"Ocean Dev Manage","Ocean Development and Management"
"Ocean Dyn","Ocean Dynamics"
"Ocean Eng","Ocean Engineering"
"Ocean Ind","Ocean Industry"
"Ocean Manage","Ocean Manage"
"Ocean Modell","Ocean Modelling"
"Ocean Polar Res","Ocean and Polar Research"
"Ocean Res","Ocean Research"
"Ocean Sci","Ocean Science"
"Ocean Sci Discuss","Ocean Science Discussions"
"Ocean Technol","Ocean Technology"
"Ocean Voice","Ocean Voice"
"Ocean Yearb","Ocean Yearbook"
"Oceanis Doc Oceanogr","Oceanis Serie de Documents Oceanographiques"
"Oceanogr Cruise Rep","Oceanographical Cruise Report"
"Oceanogr Mag","Oceanographical Magazine"
"Oceanogr Mar Biol Annu Rev","Oceanography and Marine Biology An Annual Review"
"Oceanogr Meteorol","Oceanography and Meteorolgooy"
"Oceanogr Stn List","Oceanographical Station List"
"Oceanography","Oceanography"
"Oceanol Acta","Oceanologica Acta"
"Oceanol Hydrobiol Stud","Oceanological and Hydrobiological Studies"
"Oceanol Limnol Sin","Oceanologia et Limnologia Sinica"
"Oceanologia","Oceanologia"
"Oceanology","Oceanology"
"Oceanorama Inst Oceanogr Paul Ricard","Oceanorama Institut Oceanographique Paul Ricard"
"Oceans","Oceans"
"Oceanus","Oceanus"
"OCS Rep US Miner Manage Serv","OCS Reports US Minerals Management Service"
"Odonatologica","Odonatologica"
"Oebalia","Oebalia"
"Oecol Aquat","Oecologia Aquatica"
"Oecologia","Oecologiea"
"OECS Fish Rep","OECS Fishery Report"
"Oesterr Fisch","Oesterreichs Fischerei"
"Oesterr Wasser Abfallwirtsch","Oesterreichische Wasser und Abfallwirtschaft"
"Offshore","Offshore"
"Offshore Eng","Offshore Engineer"
"Offshore Mech","Offshore Mechanics"
"Offshore Serv","Offshore Services"
"Ohio J Sci","Ohio Journal of Science"
"Oikos","Oikos"
"Oil Chem Pollut","Oil and Chemical Pollution"
"Oil Energy Trends","Oil and Energy Trends"
"Oil Gas Int","Oil and Gas International"
"Oil Gas J","Oil and Gas Journal"
"Oil Petrochem Pollut","Oil and Petrochemical Pollution"
"Okeanol Issled","Okeanologicheskie Issledovaniya"
"Okeanologiya Mosc","Okeanologiya Moscow"
"Okeanologiya Sofia","Okeanologiya Sofia"
"Ol Corps Gras Lipides","Oleagineux Corps Gras Lipides"
"Ont Fish Tech Rep Ser","Ontario Fisheries Technical Report Series"
"Open Appl Math J","Open Applied Mathematics Journal"
"Open Atmos Sci J","Open Atmospheric Science Journal"
"Open Biochem J","Open Biochemistry Journal"
"Open Biochem Lett","Open Biochemistry Letters"
"Open Biomater J","Open Biomaterials Journal"
"Open Biomed Eng J","Open Biomedical Engineering Journal"
"Open Biomed EngLett","Open Biomedical Engineering Letters"
"Open Biotechnol J","Open Biotechnology Journal"
"Open Chem Eng J","Open Chemical Engineering Journal"
"Open Drug Delivery J","Open Drug Delivery Journal"
"Open Drug Delivery Rev","Open Drug Delivery Reviews"
"Open Food Sci J","Open Food Science Journal"
"Open Inorg Chem J","Open Inorganic Chemistry Journal"
"Open Inorg Chem Rev","Open Inorganic Chemistry Reviews"
"Open Magn Reson J","Open Magnetic Resonance Journal"
"Open Med Chem J","Open Medicinal Chemistry Journal"
"Open Nanosci J","Open Nanoscience Journal"
"Open Nutraceuticals J","Open Nutraceuticals Journal"
"Open Org Chem J","Open Organic Chemistry Journal"
"Open Phys Chem J","Open Physical Chemistry Journal"
"Open Phys Chem Rev","Open Physical Chemistry Reviews"
"Open Spectrosc J","Open Spectroscopy Journal"
"OpenFile Rep US Bur Mines","Openfile Report US Bureau of Mines"
"OpenFile Rep US Geol Surv","Openfile Report US Geological Survey"
"Oper Res","Operations Research"
"Oper Res Perspect","Operations Research Perspectives"
"Opera Bot","Opera Botanica"
"Opera Lillo","Opera Lilloana"
"Ophelia","Ophelia"
"Opred Faune SSSR","Opredeliteli po faune SSSR"
"Opred Presnovodn Vodorosl SSSR","Opredelitel Presnovodnykh Vodoroslej SSSR"
"Opt Commun","Optics Communications"
"Opt Eng","Optical Engineering"
"Opt Express","Optics Express"
"Opt Fiber Technol","Optical Fiber Technology"
"Opt Laser Technol","Optics and Laser Technology"
"Opt Lasers Eng","Optics and Lasers in Engineering"
"Opt Lett","Optics Letters"
"Opt Mater","Optical Materials"
"Opt Nanosc","Optical Nanoscopy"
"Opt Photonics Lett","Optics and Photonics Letters"
"Opt Photonics News","Optics and Photonics News"
"Opt Quantum Electron","Optical and Quantum Electronics"
"Opt Rev","Optical Review"
"Opt Spectrosc","Optics and Spectroscopy"
"Opt Spektrosk","Optika i Spektroskopiya"
"Opt Switching Networking","Optical Switching and Networking"
"Opt Zh","Opticheskii Zhurnal"
"Optoelectron Adv Mater Rapid Commun","Optoelectronics and Advanced Materials Rapid Communications"
"OptoElectron Rev","OptoElectronics Review"
"Opusc Zool Flumin","Opuscula Zoologica Fluminensia"
"Or Law Rev","Oregon Law Review"
"Ore Energy Resour Geol","Ore and Energy Resource Geology"
"Ore Geol Rev","Ore Geology Reviews"
"Org Biomol Chem","Organic and Biomolecular Chemistry"
"Org Chem Front","Organic Chemistry Frontiers"
"Org Divers Evol","Organisms Diversity and Evolution"
"Org Electron","Organic Electronics"
"Org Geochem","Organic Geochemistry"
"Org Lett","Organic Letters"
"Org Mass Spectrom","Organic Mass Spectrometry"
"Org Prep Proced Int","Organic Preparations and Procedures International"
"Org Process Res Dev","Organic Process Research and Development"
"Org React","Organic Reactions"
"Org React Mech","Organic Reaction Mechanics"
"Org Synth","Organic Syntheses"
"Organohalogen Compd","Organohalogen Compounds"
"Organomet Chem","Organometallic Chemistry"
"Orient J Chem","Oriental Journal of Chemistry"
"Origins Life Evol Biosphere","Origins of Life and Evolution of the Biosphere"
"Ornis Fenn","Ornis Fennica"
"Ornith Res","Ornithology Research"
"Orsis Org Sist","Orsis Organismes i Sistemes"
"Oryx","Oryx"
"OSA Continuum","OSA Continuum"
"Oseana","Oseana"
"Osterr Chem Z","Osterreichische Chemie Zeitschrift"
"Oxid Med Cell Longevity","Oxidative Medicine and Cellular Longevity"
"Oxid Met","Oxidation of Metals"
"Ozone Sci Eng","Ozone Science and Engineering"
"Pac Conserv Biol","Pacific Conservation Biology"
"Pac Discov","Pacific Discovery"
"Pac Halibut Fish Regul","Pacific Halibut Fishery Regulations"
"Pac J Math Ind","Pacific Journal of Mathematics for Industry"
"Pac Sci","Pacific Science"
"Pac Sci Rev","Pacific Science Review"
"Pac Sci Rev A Nat Sci Eng","Pacific Science Review A Natural Science and Engineering"
"Packag Technol Sci","Packaging Technology and Science"
"Pain Med","Pain Medicine"
"Pak J Anal Chem","Pakistan Journal of Analytical Chemistry"
"pak J Anal Environ Chem","Pakistan Journal of Analytical and Environmental Chemistry"
"Pak J Biochem Mol Biol","Pakistan Journal of Biochemistry and Molecular Biology"
"Pak J Biol Sci","Pakistan Journal of Biological Sciences"
"Pak J Bot","Pakistan Journal of Botany"
"Pak J Mar Sci","Pakistan Journal of Marine Sciences"
"Pak J Pharmacol","Pakistan Journal of Pharmacology"
"Pak J Sci","Pakistan Journal of Science"
"Pak J Sci Ind Res","Pakistan Journal of Scientific and Industrial Research"
"Pak J Sci Res","Pakistan Journal of Scientific Research"
"Pak J Zool","Pakistan Journal of Zoology"
"Pak Seaf Dig","Pakistan Seafood Digest"
"Palaentolog Z","Palaeontologische Zeitschrift"
"Palaeobiodivers Palaeoenviron","Palaeobiodiversity and Palaeoenvironments"
"Palaeogeogr Palaeoclimatol Palaeoecol","Palaeogeography Palaeoclimatology Palaeoecology"
"Palaeontol Electronica","Palaeontologia Electronica"
"PalArchs J Vertebr Palaeontol","PalArchs Journal of Vertebrate Palaeontology"
"Paleobiology","Paleobiology"
"Paleoceanogr Paleoclimatol","Paleoceanography and Paleoclimatology"
"Paleontol Bull","Paleontological Bulletin"
"Paleontol Mex","Paleontologia Mexicana"
"Paleontolog J","Paleontological Journal"
"Paleontolog Res","Paleontological Research"
"Paleontology","Paleontology"
"Panorama Atunero","Panorama Atunero"
"Panorama Pesq","Panorama Pesquero"
"PanPac Entomol","PanPacific Entomologist"
"Pap Avulsos Zool","Papeis Avulsos de Zoologia"
"Pap Celul","Papir a Celuloza"
"Pap Dep Mar Biol Carnegie Inst Wash","Papers from the Department of Marine Biology of the Carnegie Institution of Washington"
"Pap Meteorol Geophys","Papers in Meteorology and Geophysics"
"Pap Mich Acad Sci Arts Lett","Papers of the Michigan Academy of Science Arts and Letters"
"Pap Mich Acad Sci Arts Lett I","Papers of the Michigan Academy of Science Arts and Letters Part I"
"Pap Palaeontol","Papers in Palaeontology"
"Pap Phys Oceanogr Meteorol","Papers in Physical Oceanography and Meteorology"
"Pap Proc R Soc Tasman","Papers and Proceedings of the Royal Society of Tasmania"
"Pap Puu","Paperi Ja Puu"
"Pap Tortugas Lab Carnegie Inst Wash","Papers from the Tortugas Laboratory of the Carnegie Institution of Washington"
"Parallel Comput","Parallel Computing"
"Parasites Vectors","Parasites and Vectors"
"Parasitica","Parasitica"
"Parasitol Res","Parasitology Research"
"Parasitology","Parasitology"
"Parassitologia","Parassitologia"
"Parazitol Sb","Parazitologicheskij Sbornik"
"Parazitologiya","Parazitologiya"
"Part Fibre Toxicol","Particle and Fibre Toxicology"
"Part Part Syst Char","Particle and Particle Systems Characterization"
"Part Sci Technol","Particulate Science and Technology"
"Pathol Oncol Res","Pathology and Oncology Research"
"Pathol Res Pract","Pathology Research and Practice"
"Pattern Recognit","Pattern Recognition"
"Pattern Recognit Image Anal","Pattern Recognition and Image Analysis"
"Pattern Recognit Lett","Pattern Recognition Letters"
"Pattern Recognit Phys","Pattern Recognition in Physics"
"PCCP","Physical Chemistry Chemical Physics"
"PDA J Pharm Sci Technol","PDA Journal of Pharmaceutical Science and Technology"
"Peche Marit","La Peche Maritime"
"Pediatr Radiol","Pediatric Radiology"
"Pediatr Res","Pediatric Research"
"PeerJ","PeerJ"
"PeerJ Anal Chem","PeerJ Analytical Chemistry"
"PeerJ Comput Sci","PeerJ Computer Science"
"PeerJ Inorg Chem","PeerJ Inorganic Chemistry"
"PeerJ Mater Sci","PeerJ Materials Science"
"PeerJ Org Chem","PeerJ Organic Chemistry"
"PeerJ Phys Chem","PeerJ Physical Chemistry"
"Pelagos Bull Inst Sci Mer Amenage Littoral","Pelagos Bulletin de lInstitut des Sciences de la Mer et de lAmenagement du Littoral"
"People Nat","People and Nature"
"Pept Sci","Peptide Science"
"Perangkaan Tahunan Perikanan Jabatan Perikanan Malays","Perangkaan Tahunan Perikanan Jabatan Perikanan Malyasia"
"Period Biol","Periodicum Biologorum"
"Permafrost Periglacial Processes","Permafrost and Periglacial Processes"
"Perspect Drug Discovery Des","Perspectives in Drug Discovery and Design"
"Perspect Med Chem","Perspectives in Medicinal Chemistry"
"Perspect Sci","Perspectives in Science"
"Pertanika J Trop Agric Sci","Pertanika Journal of Tropical Agricultural Science"
"Peru Pesq","Peru Pesquero"
"Perv Glob Ehksp PIGAP","Pervyj Globalnyj Ehksperiment PIGAP"
"Pervasive Mob Comput","Pervasive and Mobile Computing"
"Pesca","Pesca"
"Pesca Mar Barco Pesq","Pesca Marina y el Barco Pesquero"
"Pesca Naveg","Pesca e Navegacao"
"Pesce","Il Pesce"
"Pesqui Antart Bras","Pesquisa Antartica Brasileira"
"Pesqui Nav","Pesquisa Naval"
"Pest Manage Hortic Ecosyst","Pest Management in Horticultural Ecosystems"
"Pest Manage Sci","Pest Management Science"
"Pestic Biochem Physiol","Pesticide Biochemistry and Physiology"
"Pestic Outlook","Pesticide Outlook"
"Pet Chem","Petroleum Chemistry"
"Pet Coal","Petroleum and Coal"
"Pet Eng Int","Petroleum Engineer International"
"Pet Explor Dev","Petroleum Exploration and Development"
"Pet Geosci","Petroleum Geoscience"
"Pet Rev","Petroleum Review"
"Pet Sci","Petroleum Science"
"Pet Sci Technol","Petroleum Science and Technology"
"Pflueg Arch","Pfluegers Archiv"
"Pfluegers Arch","Pfluegers Archiv"
"Pfluegers Arch Gesame Physiol Menschen Tiere","Fluegers Archiv für die Gesamte Physiologie des Menschen und der Tiere"
"PGA Proc Geol Assoc","PGA Proceedings of the Geologists Association"
"PHAGE Ther Appl Res","PHAGE Therapy Applications and Research"
"Pharm Acta Helv","Pharmaceutica Acta Helvetiae"
"Pharm Biol","Pharmaceutical Biology"
"Pharm Chem J","Pharmaceutical Chemistry Journal"
"Pharm Methods","Pharmaceutical Methods"
"Pharm Pat Anal","Pharmaceutical Patent Analyst"
"Pharm Pharmacol Commun","Pharmacy and Pharmacology Communications"
"Pharm Pharmacol Lett","Pharmaceutical and Pharmacological Letters"
"Pharm Res","Pharmaceutical Research"
"Pharm Sci Technol Today","Pharmaceutical Science and Technology Today"
"Pharm Stat","Pharmaceutical Statistics"
"Pharm Technol","Pharmaceutical Technology"
"Pharm Today","Pharmacy Today"
"Pharm Unserer Zeit","Pharmazie in unserer Zeit"
"Pharm Zentralhalle Dtschl","Pharmazeutische Zentralhalle für Deutschland"
"PharmacoEcon Open","PharmacoEconomics Open"
"Pharmacoepidemiol Drug Saf","Pharmacoepidemiology and Drug Safety"
"Pharmacogenet Genomics","Pharmacogenetics and Genomics"
"Pharmacogenomics J","Pharmacogenomics Journal"
"Pharmacogenomics Pers Med","Pharmacogenomics and Personalized Medicine"
"Pharmacogn Mag","Pharmacognosy Magazine"
"Pharmacogn Res","Pharmacognosy Research"
"Pharmacogn Rev","Pharmacognosy Reviews"
"Pharmacol Biochem Behav","Pharmacology Biochemistry and Behavior"
"Pharmacol Biochem Behav","Pharmacology Biochemistry and Behavior"
"Pharmacol Rep","Pharmacological Reports"
"Pharmacol Res","Pharmacological Research"
"Pharmacol Res Commun","Pharmacological Research Communications"
"Pharmacol Res Perspect","Pharmacology Research and Perspectives"
"Pharmacol Ther","Pharmacology and Therapeutics"
"Pharmacol Ther Part A","Pharmacology and Therapeutics Part A Chemotherapy Toxicology and Metabolic Inhibitors"
"Pharmacol Ther Part B","Pharmacology and Therapeutics Part B General and Systemic Pharmacology"
"Pharmacol Ther Part C","Pharmacology and Therapeutics Part C Clinical Pharmacology and Therapeutics"
"Pharmacol Ther Part A","Pharmacology and Therapeutics Part A Chemotherapy Toxicology and Metabolic Inhibitors"
"Pharmacol Ther Part B","Pharmacology and Therapeutics Part B General and Systematic Pharmacology"
"Pharmacol Ther Part C","Pharmacology and Therapeutics Part C Clinical Pharmacology and Therapeutics"
"Phase Transitions","Phase Transitions"
"Philipp J Sci","Philippine Journal of Science"
"Philips J Res","Philips Journal of Research"
"Philos Mag","Philosophical Magazine"
"Philos Mag A","Philosophical Magazine A"
"Philos Mag B","Philosophical Magazine B"
"Philos Mag Lett","Philosophical Magazine Letters"
"Philos Trans R Soc Lond A","Philosophical Transactions of the Royal Society of London Series A Physical Sciences and Engineering"
"Philos Trans R Soc Lond B","Philosophical Transactions of the Royal Society of London Series B Biological Sciences"
"Philos Trans R Soc London Ser A","Philosophical Transactions of the Royal Society of London Series A Mathematical Physical and Engineering Sciences"
"Philos Trans R Soc London Ser B","Philosophical Transactions of the Royal Society of London Series B Biological Sciences"
"Phosphorus Sulfur Rel Elem","Phosphorus Sulfur and Related Elements"
"Phosphorus Sulfur Silicon Relat Elem","Phosphorus Sulfur Silicon and the Related Elements"
"Photochem Photobiol","Photochemistry and Photobiology"
"Photochem Photobiol Sci","Photochemistry and Photobiological Sciences"
"Photodermatol Photoimmunol Photomed","Photodermatology Photoimmunology and Photomedicine"
"Photodiagn Photodyn Ther","Photodiagnosis and Photodynamic Therapy"
"Photogramm Eng Remote Sens","Photogrammetric Engineering and Remote Sensing"
"Photogramm Rec","Photogrammetric Record"
"Photomed Laser Surg","Photomedicine and Laser Surgery"
"Photonics Nanostruct Fundam Appl","Photonics and Nanostructures Fundamentals and Applications"
"Photonics Res","Photonics Research"
"Photosynth Res","Photosynthesis Research"
"Photosynthetica","Photosynthetica"
"Photovoltaics Bull","Photovoltaics Bulletin"
"Phycol Res","Phycological Research"
"Phycologia","Phycologia"
"Phykos","Phykos"
"Phys At Nucl","Physics of Atomic Nuclei"
"Phys Biol","Physical Biology"
"Phys Chem Chem Phys","Physical Chemistry Chemical Physics"
"Phys Chem Earth","Physics and Chemistry of the Earth"
"Phys Chem Earth Part A","Physics and Chemistry of the Earth Part A Solid Earth and Geodesy"
"Phys Chem Earth Part B","Physics and Chemistry of the Earth Part B Hydrology Oceans and Atmosphere"
"Phys Chem Earth Part C","Physics and Chemistry of the Earth Part C Solar Terrestrial and Planetary Science"
"Phys Chem Glasses","Physics and Chemistry of Glasses"
"Phys Chem Liq","Physics and Chemistry of Liquids"
"Phys Chem Miner","Physics and Chemistry of Minerals"
"Phys Commun","Physical Communication"
"Phys Dark Universe","Physics of the Dark Universe"
"Phys Earth Planet Inter","Physics of the Earth and Planetary Interiors"
"Phys Educ","Physics Education"
"Phys Educ Res","Physics Education Research"
"Phys Fluids","Physics of Fluids"
"Phys Fluids A","Physics of Fluids A"
"Phys Fluids B","Physics of Fluids B"
"Phys J","Physik Journal"
"Phys Lett A","Physics Letters A"
"Phys Lett B","Physics Letters B"
"Phys Life Rev","Physics of Life Reviews"
"Phys Med","Physics in Medicine"
"Phys Med and Biol","Physics in Medicine and Biology"
"Phys Med Biol","Physics in Medicine and Biology"
"Phys Mesomech","Physical Mesomechanics"
"Phys Met","Physics of Metals"
"Phys Met Metall","Physics of Metals and Metallography"
"Phys Oceanogr","Physical Oceanography"
"Phys Open","Physics Open"
"Phys Part Nucl","Physics of Particles and Nuclei"
"Phys Part Nucl Lett","Physics of Particles and Nuclei Letters"
"Phys Plasma","Physics of Plasmas"
"Phys Rep","Physics Reports"
"Phys Rev A At Mol Opt Phys","Physical Review A Atomic Molecular and Optical Physics"
"Phys Rev Accel Beams","Physical Review Accelerators and Beams"
"Phys Rev Appl","Physical Review Applied"
"Phys Rev B Condens Matter","Physical Review B Condensed Matter"
"Phys Rev C Nucl Phys","Physical Review C Nuclear Physics"
"Phys Rev D Part Fields","Physical Review D Particles and Fields"
"Phys Rev E","Physical Review E"
"Phys Rev E Stat Nonlinear Soft Matter Phys","Physical Review E Statistical Nonlinear and Soft Matter Physics"
"Phys Rev E Stat Phys Plasmas Fluids Relat Interdiscip Top","Physical Review E Statistical Physics Plasmas Fluids and Related Interdisciplinary Topics"
"Phys Rev Fluids","Physical Review Fluids"
"Phys Rev Lett","Physical Review Letters"
"Phys Rev Mater","Physical Review Materials"
"Phys Rev Phys Educ Res","Physical Review Physics Education Research"
"Phys Rev Res","Physical Review Research"
"Phys Rev Spec Top Accel Beams","Physical Review Special Topics Accelerators and Beams"
"Phys Rev Spec Top Phys Educ Res","Physical Review Special Topics Physics Education Research"
"Phys Rev X","Physical Review X"
"Phys Scr","Physica Scripta"
"Phys Scr T","Physica Scripta T"
"Phys Sep Sci Eng","Physical Separaion in Science and Engineering"
"Phys Solid State","Physics of the Solid State"
"Phys Status Solidi A","Physica Status Solidi A Applications and Material Science"
"Phys Status Solidi B","Physica Status Solidi B Basic Solid State Physics"
"Phys Status Solidi C","Physica Status Solidi C Current Topics in Solid State Physics"
"Phys Status Solidi RRL","Physica Status Solidi Rapid Research Letters"
"Phys Teach","Physics Teacher"
"Phys Technol","Physics in Technology"
"Phys Today","Physics Today"
"Phys Unserer Zeit","Physik in Unserer Zeit"
"Phys Usp","PhysicsUspekhi"
"Phys Wave Phenom","Physics of Wave Phenomenon"
"Phys World","Physics World"
"Phys Z","Physikalishce Zeitschrift"
"Physica A","Physica A Statistical Mechanics and its Applications"
"Physica B","Physica B Condensed Matter"
"Physica C","Physica C Superconductivity"
"Physica D","Physica D Nonlinear Phenomena"
"Physica E","Physica E Lowdimensional Systems and Nanostructures"
"Physica Med","Physica Medica"
"Physicochem Probl Miner Process","Physicochemical Problems of Mineral Processing"
"Physics Procedia","Physics Procedia"
"Physiol and Behav","Physiology and Behavior"
"Physiol Biochem Zool","Physiological and Biochemical Zoology"
"Physiol Bohemoslov","Physiologia Bohemoslovaca"
"Physiol Chem Phys Med NMR","Physiological Chemistry and Physics and Medical NMR"
"Physiol Ecol Jpn","Physiology and Ecology Japan"
"Physiol Entomol","Physiological Entomology"
"Physiol Meas","Physiological Measurement"
"Physiol Mol Biol Plants","Physiology and Molecular Biology of Plants"
"Physiol Mol Plant Pathol","Physiological and Molecular Plant Pathology"
"Physiol Plant","Physiologia Plantarum"
"Physiol Plant Pathol","Physiological Plant Pathology"
"Physiol Res","Physiological Research"
"Physiol Rev","Physiological Reviews"
"Physiol Zool","Physiological Zoology"
"Physiother Pract Res","Physiotherapy Practice and Research"
"Physis A","Physis Seccion A Los Oceanos y sus Organismos"
"Physis B","Physis Seccion B Las Aguas Continentales y sus Organismos"
"Physis C","Physis Seccion C Los Continentes y los Organismos Terrestres"
"Phytochem Anal","Phytochemical Analysis"
"Phytochem Lett","Phytochemistry Letters"
"Phytochem Rev","Phytochemistry Reviews"
"Phytochemistry","Phytochemistry"
"Phytologia","Phytologia"
"Phyton B Aires","Phyton Buenos Aires"
"Phytopathology","Phytopathology"
"Phytother Res","Phytotherapy Research"
"PICES Press","PICES Press"
"PICES Sci Rep","PICES Scientific Report"
"Pipe Line Ind","Pipe Line Industry"
"Pipes Pipelines Int","Pipes and Pipelines International"
"Piscic Fr Eau Vive Etang Saumatre Mar","La Pisciculture Francaise deau Vive et dEtang Saumatre et Marine"
"Pishch Prom","Pishchevaya Promyshlennost"
"Planet Sci J","Planetary Science Journal"
"Planet Space Sci","Planetary and Space Science"
"Plankton Benthos Res","Plankton and Benthos Research"
"Plant Biol","Plant Biology"
"Plant Biotechnol J","Plant Biotechnology Journal"
"Plant Breed","Plant Breeding"
"Plant Cell","Plant Cell"
"Plant Cell Environ","Plant Cell and Environment"
"Plant Cell Physiol","Plant and Cell Physiology"
"Plant Commun","Plant Communications"
"Plant Ecol","Plant Ecology"
"Plant Ecolog Divers","Plant Ecology and Diversity"
"Plant Genet Resour","Plant Genetic Resources"
"Plant Growth Regul","Plant Growth Regulation"
"Plant Methods","Plant Methods"
"Plant Mol Biol","Plant Molecular Biology"
"Plant Pathol","Plant Pathology"
"Plant Phenomics","Plant Phenomics"
"Plant Physiol","Plant Physiology"
"Plant Physiol Biochem","Plant Physiology and Biochemistry"
"Plant Prod Sci","Plant Production Science"
